feature,importance
product_purchase_count_last_30_days,0.020640651296742973
previous_business_line_purchase_share,0.018454568072862998
historical_product_unique_customer_count,0.01325047118461209
previous_paid_quantity,0.007939203778643045
product_id,0.007722628968210965
average_days_between_customer_product_purchases,0.0074341082867177
historical_product_purchase_count,0.006783923084404897
previous_category_purchase_share,0.006450362514182351
previous_paid_purchase_count,0.0061752948055925905
days_since_last_paid_purchase,0.006092910656045392
observed_reorder_interval_count,0.005460850154907437
expected_days_before_next_order,0.0025400320518701447
previous_category_purchase_count,0.0022634494955042217
business_line,0.001965506608179235
last_paid_quantity,0.0017949661293718555
previous_business_line_purchase_count,0.0014568359877368264
std_days_between_customer_product_purchases,0.0010631232171833815
product_category,0.0008021161069677318
